Municipality,Geography,HomeType,Median Price of Year,Median Price of 2023,Price YoY
DUFFERIN,Orangeville,Condo Townhouse,614375.0,629736.11494584,0.025002832058335756
DUFFERIN,Orangeville,Detached,993592.59375,954776.044821102,-0.03906686621163025
DUFFERIN,Orangeville,Semi-Detached,675400.0,673770.9055961973,-0.002412043831511168
DURHAM,Ajax,Condo Apt,640101.0625,607854.60615486,-0.05037713297834123
DURHAM,Ajax,Condo Townhouse,773239.5625,763944.231744237,-0.01202128189834184
DURHAM,Ajax,Detached,1175243.75,1116717.009887974,-0.04979966080400422
DURHAM,Ajax,Semi-Detached,940147.6875,909693.0981172909,-0.03239340987339201
DURHAM,Brock,Detached,868347.5625,857471.5108903018,-0.012524998145196253
DURHAM,Clarington,Condo Townhouse,764392.84375,738823.273991529,-0.03345082305196678
DURHAM,Clarington,Detached,1034666.53125,977220.508573371,-0.05552129207004253
DURHAM,Clarington,Link,758416.65625,770886.185827624,0.016441529171154823
DURHAM,Clarington,Semi-Detached,748500.0,755469.3298397729,0.00931106191018416
DURHAM,Oshawa,Condo Apt,490683.5625,534018.8635363952,0.08831618653701123
DURHAM,Oshawa,Condo Townhouse,634339.125,613289.9423743347,-0.03318285408560495
DURHAM,Oshawa,Detached,904420.65625,899780.6804158837,-0.005130329346252571
DURHAM,Oshawa,Link,750500.0,722396.1657743596,-0.03744681442457087
DURHAM,Oshawa,Semi-Detached,740217.6875,729070.2002264701,-0.015059741832404994
DURHAM,Pickering,Condo Apt,683383.25,669840.4963006943,-0.01981721632671818
DURHAM,Pickering,Condo Townhouse,762621.875,736000.3832321247,-0.03490785229295357
DURHAM,Pickering,Detached,1378550.8125,1318987.0416594797,-0.043207526556457876
DURHAM,Pickering,Semi-Detached,903857.15625,907466.6235537902,0.003993404575967974
DURHAM,Scugog,Detached,1165848.4375,1080898.1763942342,-0.07286561303622785
DURHAM,Uxbridge,Detached,1431555.25,1352767.1065248423,-0.05503674655599755
DURHAM,Whitby,Condo Apt,730719.59375,707391.3188834089,-0.03192507093845953
DURHAM,Whitby,Condo Townhouse,736821.4375,719925.5161439573,-0.02293082217228881
DURHAM,Whitby,Detached,1127294.9375,1135516.8957080927,0.007293528902317714
DURHAM,Whitby,Link,910291.65625,901643.5008406739,-0.009500422584287627
DURHAM,Whitby,Semi-Detached,989000.0,938497.6959838452,-0.05106400810531331
HALTON,Burlington,Condo Townhouse,862636.28125,848116.8547600026,-0.016831458177203107
HALTON,Burlington,Detached,1610597.375,1504903.4098713524,-0.06562407636399359
HALTON,Halton Hills,Condo Townhouse,712416.6875,714272.4333893494,0.002604860220023042
HALTON,Halton Hills,Detached,1372827.4375,1249419.348745064,-0.08989337289154808
HALTON,Halton Hills,Semi-Detached,940875.0,901086.8105153185,-0.04228849686162506
HALTON,Milton,Detached,1416390.4375,1394125.4759360913,-0.015719508529870807
HALTON,Oakville,Condo Apt,835629.1875,882877.6283935682,0.056542353474899665
HALTON,Oakville,Condo Townhouse,918074.03125,929460.8455863732,0.012402936962359723
HALTON,Oakville,Detached,2094571.3125,2018091.7360034694,-0.0365132359257071
HALTON,Oakville,Semi-Detached,1239131.6875,1194134.7462341203,-0.03631328431013081
PEEL,Brampton,Condo Apt,604160.09375,591692.4102617572,-0.020636390283337525
PEEL,Brampton,Condo Townhouse,772589.4375,740502.1108447306,-0.0415321839748416
PEEL,Brampton,Detached,1293318.8125,1259892.4047939256,-0.025845450775946577
PEEL,Brampton,Link,932497.5,888366.9548932201,-0.047325108224719026
PEEL,Brampton,Semi-Detached,1004743.96875,991123.1624662107,-0.01355649469658915
PEEL,Caledon,Detached,1842239.0625,1731313.2151460394,-0.06021251509205827
PEEL,Mississauga,Condo Apt,666107.90625,681253.3343323345,0.022737199093760818
PEEL,Mississauga,Condo Townhouse,845697.625,845841.5011561867,0.0001701271848630892
PEEL,Mississauga,Detached,1638264.5,1539899.5321708443,-0.06004217745617735
PEEL,Mississauga,Link,1104083.3125,1064782.1931689598,-0.035596153737755376
PEEL,Mississauga,Semi-Detached,1090224.375,1066531.176903651,-0.021732405401731048
SIMCOE,Adjala-Tosorontio,Detached,1225165.5625,1242521.8014275683,0.014166443669990425
SIMCOE,Bradford West Gwillimbury,Detached,1239964.0,1195860.1595041486,-0.035568645941213894
SIMCOE,Bradford West Gwillimbury,Semi-Detached,944601.75,929018.6250842704,-0.016497031596362843
SIMCOE,Essa,Detached,953129.625,907852.6105228461,-0.04750352238516764
SIMCOE,Innisfil,Detached,1025264.28125,973852.1005002985,-0.05014529589094807
SIMCOE,New Tecumseth,Detached,1104381.75,993514.2070625327,-0.10038878579573352
TORONTO,Toronto C01,Condo Apt,834451.78125,861916.7831766922,0.03291382742996829
TORONTO,Toronto C01,Condo Townhouse,1065829.59375,1084017.3495291898,0.017064412440640053
TORONTO,Toronto C01,Detached,1881762.125,2129933.836025934,0.13188261562333992
TORONTO,Toronto C01,Semi-Detached,1746470.0625,1796560.3943066006,0.028680899193255227
TORONTO,Toronto C02,Condo Apt,1275673.25,1258123.3282644732,-0.013757380062274338
TORONTO,Toronto C02,Detached,3367666.625,3278314.2385266647,-0.026532432221771707
TORONTO,Toronto C02,Semi-Detached,2182228.875,2265026.711969294,0.03794186664737187
TORONTO,Toronto C03,Condo Apt,924211.1875,982710.2740670403,0.06329623289378361
TORONTO,Toronto C03,Detached,2147235.375,2302323.5125628817,0.07222689201591681
TORONTO,Toronto C03,Semi-Detached,1265906.25,1374819.1236986215,0.08603549725631066
TORONTO,Toronto C04,Condo Apt,1166390.75,1140434.5375134845,-0.02225344507105831
TORONTO,Toronto C04,Detached,2941049.25,2838592.2426149687,-0.03483688938056084
TORONTO,Toronto C04,Semi-Detached,1873750.0,1712004.1770603226,-0.08632198689242288
TORONTO,Toronto C06,Detached,1796501.8125,1677210.788535857,-0.06640183891500684
TORONTO,Toronto C07,Condo Apt,765074.6875,752632.3775687827,-0.01626286967076973
TORONTO,Toronto C07,Condo Townhouse,884392.84375,901039.2055110986,0.01882236144122862
TORONTO,Toronto C07,Detached,2010034.625,1990385.9121727964,-0.009775310625409483
TORONTO,Toronto C07,Semi-Detached,1276214.3125,1183993.13420203,-0.07226151391243696
TORONTO,Toronto C08,Co-Op Apt,1064236.0,1169834.1625509944,0.09922438495878216
TORONTO,Toronto C08,Condo Apt,788660.25,815897.9820760615,0.03453671219775756
